id,Title,Content,Excerpt,Date,"Post Type",Permalink,"Image URL","Image Filename","Image Path","Image ID","Image Title","Image Caption","Image Description","Image Alt Text","Attachment URL","Attachment Filename","Attachment Path","Attachment ID","Attachment Title","Attachment Caption","Attachment Description","Attachment Alt Text",Tags,"Event Categories","Event Types",_vc_post_settings,slide_template,_wp_page_template,mfn-post-love,_dp_original,_wp_old_slug,Status,Author,Slug,Format,Template,Parent,Order,"Comment Status","Ping Status"
2538,"Manchester, New Hampshire - Boot Camp","Hosted By: Agency Manager - Lateef Duncan

<a href=""https://agentportal.leazergroup.com/wp-content/uploads/2017/06/HomewoodSuites_ManchesterNH-1.jpg""><img class=""alignnone size-full wp-image-2541"" src=""https://agentportal.leazergroup.com/wp-content/uploads/2017/06/HomewoodSuites_ManchesterNH-1.jpg"" alt="""" width=""268"" height=""255"" /></a>",,20170621,espresso_events,https://agentportal.leazergroup.com/events/manchester-new-hampshire-boot-camp/,https://agentportal.leazergroup.com/wp-content/uploads/2017/06/HomewoodSuites_ManchesterNH-1.jpg,HomewoodSuites_ManchesterNH-1.jpg,/home/content/p3pnexwpnas05_data02/64/2908564/html/wp-content/uploads/2017/06/HomewoodSuites_ManchesterNH-1.jpg,2541,HomewoodSuites_ManchesterNH,,,,,,,,,,,,,"Boot Camp","Single Event","a:1:{s:10:""vc_grid_id"";a:0:{}}",default,default,0,,,publish,839,manchester-new-hampshire-boot-camp,,default,0,0,closed,closed
2545,"Houston, TX Boot Camp","Hosted By: Aaron Guetterman - National Agency Manager

<a href=""https://agentportal.leazergroup.com/wp-content/uploads/2017/06/fairfield.jpg""><img class=""alignnone size-medium wp-image-2546"" src=""https://agentportal.leazergroup.com/wp-content/uploads/2017/06/fairfield-300x210.jpg"" alt="""" width=""300"" height=""210"" /></a>",,20170627,espresso_events,https://agentportal.leazergroup.com/events/houston-tx-boot-camp/,https://agentportal.leazergroup.com/wp-content/uploads/2017/06/fairfield.jpg,fairfield.jpg,/home/content/p3pnexwpnas05_data02/64/2908564/html/wp-content/uploads/2017/06/fairfield.jpg,2546,fairfield,,,,,,,,,,,,,"Boot Camp","Single Event","a:1:{s:10:""vc_grid_id"";a:0:{}}",default,default,0,,,publish,839,houston-tx-boot-camp,,default,0,0,closed,closed
2559,"Cincinnati, OH/Lawrenceburg,IN Boot Camp","Hosted By: National Agency Manager - Aaron Guetterman

<a href=""https://agentportal.leazergroup.com/wp-content/uploads/2017/07/unnamed.jpg""><img class=""alignnone size-medium wp-image-2560"" src=""https://agentportal.leazergroup.com/wp-content/uploads/2017/07/unnamed-300x215.jpg"" alt="""" width=""300"" height=""215"" /></a>",,20170705,espresso_events,https://agentportal.leazergroup.com/events/cincinnati-oh-boot-camp/,https://agentportal.leazergroup.com/wp-content/uploads/2017/07/unnamed.jpg,unnamed.jpg,/home/content/p3pnexwpnas05_data02/64/2908564/html/wp-content/uploads/2017/07/unnamed.jpg,2560,unnamed,,,,,,,,,,,,,"Boot Camp","Single Event","a:1:{s:10:""vc_grid_id"";a:0:{}}",default,default,0,,,publish,839,cincinnati-oh-boot-camp,,default,0,0,closed,closed
2578,"Seattle, WA Boot Camp","Hosted By: Vice President - Kimberly Narretto

<a href=""https://agentportal.leazergroup.com/wp-content/uploads/2016/08/Seattle-Airport-Marriott.jpg""><img class=""alignnone wp-image-1694"" src=""https://agentportal.leazergroup.com/wp-content/uploads/2016/08/Seattle-Airport-Marriott.jpg"" alt="""" width=""315"" height=""278"" /></a>",,20170725,espresso_events,https://agentportal.leazergroup.com/events/seattle-wa-boot-camp/,https://agentportal.leazergroup.com/wp-content/uploads/2016/08/Seattle-WA.jpg,Seattle-WA.jpg,/home/content/p3pnexwpnas05_data02/64/2908564/html/wp-content/uploads/2016/08/Seattle-WA.jpg,1693,"Seattle WA",,,,,,,,,,,,,"Boot Camp","Single Event","a:1:{s:10:""vc_grid_id"";a:0:{}}",default,default,0,,,publish,839,seattle-wa-boot-camp,,default,0,0,closed,closed
2582,"Manchester, NH Boot Camp","Hosted By: Agency Manager - Lateef Duncan

<a href=""https://agentportal.leazergroup.com/wp-content/uploads/2017/07/ManchesterCourtyard.jpg""><img class=""alignnone size-full wp-image-2583"" src=""https://agentportal.leazergroup.com/wp-content/uploads/2017/07/ManchesterCourtyard.jpg"" alt="""" width=""278"" height=""190"" /></a>",,20170727,espresso_events,https://agentportal.leazergroup.com/events/manchester-nh-boot-camp/,https://agentportal.leazergroup.com/wp-content/uploads/2017/06/manchesterNH.jpg|https://agentportal.leazergroup.com/wp-content/uploads/2017/07/ManchesterCourtyard.jpg,manchesterNH.jpg|ManchesterCourtyard.jpg,/home/content/p3pnexwpnas05_data02/64/2908564/html/wp-content/uploads/2017/06/manchesterNH.jpg|/home/content/p3pnexwpnas05_data02/64/2908564/html/wp-content/uploads/2017/07/ManchesterCourtyard.jpg,2536|2583,manchesterNH|ManchesterCourtyard,,,,,,,,,,,,,"Boot Camp","Single Event","a:1:{s:10:""vc_grid_id"";a:0:{}}",default,default,0,,,publish,839,manchester-nh-boot-camp,,default,0,0,closed,closed
2609,"Fort Myers, FL Boot Camp","Hosted By: National Agency Manager - Nick Horner

<a href=""https://agentportal.leazergroup.com/wp-content/uploads/2017/08/fairfield-ft-myers.jpg""><img class=""alignnone size-full wp-image-2610"" src=""https://agentportal.leazergroup.com/wp-content/uploads/2017/08/fairfield-ft-myers.jpg"" alt="""" width=""278"" height=""190"" /></a>",,20170822,espresso_events,https://agentportal.leazergroup.com/events/fort-myers-fl-boot-camp/,https://agentportal.leazergroup.com/wp-content/uploads/2017/08/fairfield-ft-myers.jpg,fairfield-ft-myers.jpg,/home/content/p3pnexwpnas05_data02/64/2908564/html/wp-content/uploads/2017/08/fairfield-ft-myers.jpg,2610,"fairfield ft myers",,,,,,,,,,,,,"Boot Camp","Single Event","a:1:{s:10:""vc_grid_id"";a:0:{}}",default,default,0,,,publish,839,fort-myers-fl-boot-camp,,default,0,0,closed,closed
2619,"Austin, TX Bootcamp","Hosted by: VP of Sales and Marketing, Kimberly Narretto

<a href=""https://agentportal.leazergroup.com/wp-content/uploads/2017/08/Wyndham-1.jpg""><img class=""alignnone size-medium wp-image-2621"" src=""https://agentportal.leazergroup.com/wp-content/uploads/2017/08/Wyndham-1-300x254.jpg"" alt="""" width=""300"" height=""254"" /></a>",,20170825,espresso_events,https://agentportal.leazergroup.com/events/austin-tx-bootcamp-2/,https://agentportal.leazergroup.com/wp-content/uploads/2017/08/Wyndham-1.jpg|https://agentportal.leazergroup.com/wp-content/uploads/2017/08/Wyndham.jpg,Wyndham-1.jpg|Wyndham.jpg,/home/content/p3pnexwpnas05_data02/64/2908564/html/wp-content/uploads/2017/08/Wyndham-1.jpg|/home/content/p3pnexwpnas05_data02/64/2908564/html/wp-content/uploads/2017/08/Wyndham.jpg,2621|2620,Wyndham,,,,,,,,,,,,,"Boot Camp","Single Event","a:1:{s:10:""vc_grid_id"";a:0:{}}",default,default,0,,,publish,839,austin-tx-bootcamp-2,,default,0,0,closed,closed
2643,"Winter Conference 2018",,,20170914,espresso_events,https://agentportal.leazergroup.com/events/winter-conference-2018/,,,,,,,,,,,,,,,,,,Conference,"Single Event","a:1:{s:10:""vc_grid_id"";a:0:{}}",default,default,0,,,publish,3,winter-conference-2018,,default,0,0,closed,closed
2676,"New Orleans, LA Boot Camp","<h4 style=""text-align: left;"">Hosted By: Founder &amp; CEO-Art Leazer, VP of Sales &amp; Marketing-Kimberly Narretto</h4>
<a href=""https://leazergroup.com/wp-content/uploads/2017/10/image.png"" rel=""attachment wp-att-5287""><img class=""alignnone wp-image-5287"" src=""https://leazergroup.com/wp-content/uploads/2017/10/image.png"" alt=""image"" width=""331"" height=""659"" /></a>",,20171005,espresso_events,https://agentportal.leazergroup.com/events/seattle-wa-boot-camp-2/,,,,,,,,,,,,,,,,,,"Boot Camp","Single Event","a:1:{s:10:""vc_grid_id"";a:0:{}}",default,default,0,,,publish,839,seattle-wa-boot-camp-2,,default,0,0,closed,closed
2681,"Dallas, Texas Boot Camp","<h4>Hosted By: Founder &amp; CEO-Art Leazer, VP of Sales &amp; Marketing- Kimberly Narretto</h4>
<a href=""https://leazergroup.com/wp-content/uploads/2017/07/image-1.png"" rel=""attachment wp-att-5292""><img class=""alignnone wp-image-5292"" src=""https://leazergroup.com/wp-content/uploads/2017/07/image-1-218x300.png"" alt=""image (1)"" width=""294"" height=""404"" /></a>",,20171009,espresso_events,https://agentportal.leazergroup.com/events/dallas-tx-bootcamp-3/,,,,,,,,,,,,,,,,,,"Boot Camp","Single Event","a:1:{s:10:""vc_grid_id"";a:0:{}}",default,default,0,,dallas-tx-bootcamp,publish,839,dallas-tx-bootcamp-3,,default,0,0,closed,closed
2712,"Seattle, WA Boot Camp","Hosted By: Vice President - Kimberly Narretto &amp; Agency Manager Nick Horner

<a href=""https://agentportal.leazergroup.com/wp-content/uploads/2016/08/Seattle-Airport-Marriott.jpg""><img class=""alignnone wp-image-1694"" src=""https://agentportal.leazergroup.com/wp-content/uploads/2016/08/Seattle-Airport-Marriott.jpg"" alt="""" width=""315"" height=""278"" /></a>",,20171020,espresso_events,https://agentportal.leazergroup.com/events/seattle-wa-boot-camp-3/,,,,,,,,,,,,,,,,,,"Boot Camp","Single Event","a:1:{s:10:""vc_grid_id"";a:0:{}}",default,default,0,,,publish,839,seattle-wa-boot-camp-3,,default,0,0,closed,closed
2726,"Hartford, CT Bootcamp","<h4 style=""text-align: left;"">Hosted By: Founder &amp; CEO-Art Leazer, Agency Manager - Aaron Guetterman</h4>
<a href=""https://agentportal.leazergroup.com/wp-content/uploads/2017/10/g.png""><img class=""alignnone wp-image-2733 size-medium"" src=""https://agentportal.leazergroup.com/wp-content/uploads/2017/10/g-300x294.png"" alt="""" width=""300"" height=""294"" /></a>",,20171023,espresso_events,https://agentportal.leazergroup.com/events/hartford-ct-bootcamp/,https://agentportal.leazergroup.com/wp-content/uploads/2017/10/g.png|https://agentportal.leazergroup.com/wp-content/uploads/2017/10/sh1.jpg|https://agentportal.leazergroup.com/wp-content/uploads/2017/10/sheratonhartford.jpg,g.png|sh1.jpg|sheratonhartford.jpg,/home/content/p3pnexwpnas05_data02/64/2908564/html/wp-content/uploads/2017/10/g.png|/home/content/p3pnexwpnas05_data02/64/2908564/html/wp-content/uploads/2017/10/sh1.jpg|/home/content/p3pnexwpnas05_data02/64/2908564/html/wp-content/uploads/2017/10/sheratonhartford.jpg,2733|2731|2730,g|sh1|sheratonhartford,,,,,,,,,,,,,"Boot Camp","Single Event","a:1:{s:10:""vc_grid_id"";a:0:{}}",default,default,0,,,publish,830,hartford-ct-bootcamp,,default,0,0,closed,closed
